Date,Staff,Students,Other
10/7/2020,13,821,0
10/8/2020,17,812,0
10/9/2020,18,776,0
10/10/2020,22,695,0
10/11/2020,24,583,1
10/12/2020,23,490,2
10/13/2020,24,427,2
10/14/2020,24,401,2
10/15/2020,26,347,2
10/16/2020,25,305,2
10/17/2020,24,260,3
10/18/2020,21,225,3
10/19/2020,23,210,4
10/20/2020,23,190,4
10/21/2020,24,175,3
10/22/2020,25,158,2
10/23/2020,28,144,2
10/24/2020,28,131,2
10/25/2020,28,114,2
10/26/2020,30,106,2
10/27/2020,31,101,1
10/28/2020,31,101,1
10/29/2020,32,86,0
10/30/2020,30,82,0
10/31/2020,27,71,0
11/1/2020,28,72,0
11/2/2020,26,65,0
11/3/2020,24,62,0
11/4/2020,24,67,0
11/5/2020,23,69,0
11/6/2020,23,69,0
11/7/2020,23,75,0
11/8/2020,20,81,0
11/9/2020,20,79,1
11/10/2020,19,89,1
11/11/2020,21,95,2
11/12/2020,17,100,2
11/13/2020,18,100,2
11/14/2020,16,101,2
11/15/2020,13,98,2
11/16/2020,12,91,2
11/17/2020,15,82,2
11/18/2020,14,73,2
11/19/2020,15,67,1
11/20/2020,14,56,1
11/21/2020,10,43,0
11/22/2020,11,35,0
11/23/2020,12,30,0
11/24/2020,11,20,0
11/25/2020,14,18,0
11/26/2020,14,17,0
11/27/2020,11,14,0
11/28/2020,11,12,0
11/29/2020,8,9,0
11/30/2020,8,6,0
12/1/2020,9,7,0
12/2/2020,8,7,0
12/3/2020,7,5,0
12/4/2020,7,8,1
12/5/2020,4,9,1
12/6/2020,4,8,1
12/7/2020,4,9,1
12/8/2020,4,10,1
12/9/2020,4,10,1
12/10/2020,4,10,1
12/11/2020,3,11,1
12/12/2020,3,10,1
12/13/2020,2,10,1
