Date,Staff,Students,Other
9/28/2020,0,50,0
9/29/2020,0,72,0
9/30/2020,0,116,0
10/1/2020,2,142,0
10/2/2020,1,116,0
10/3/2020,2,88,0
10/4/2020,2,49,0
10/5/2020,1,75,0
10/6/2020,3,54,0
10/7/2020,2,59,0
10/8/2020,4,41,0
10/9/2020,1,36,0
10/10/2020,4,35,0
10/11/2020,4,30,1
10/12/2020,0,23,1
10/13/2020,3,25,0
10/14/2020,2,23,0
10/15/2020,3,21,0
10/16/2020,2,12,0
10/17/2020,1,14,1
10/18/2020,1,6,0
10/19/2020,3,21,1
10/20/2020,4,15,0
10/21/2020,5,15,0
10/22/2020,1,6,0
10/23/2020,6,11,0
10/24/2020,2,10,0
10/25/2020,3,4,0
10/26/2020,4,4,0
10/27/2020,2,9,0
10/28/2020,1,6,0
10/29/2020,4,6,0
10/30/2020,2,11,0
10/31/2020,2,4,0
11/1/2020,2,7,0
11/2/2020,4,4,0
11/3/2020,0,7,0
11/4/2020,3,9,0
11/5/2020,3,6,0
11/6/2020,2,9,0
11/7/2020,1,12,0
11/8/2020,1,12,0
11/9/2020,2,9,1
11/10/2020,1,14,0
11/11/2020,4,13,1
11/12/2020,0,9,0
11/13/2020,1,7,0
11/14/2020,1,10,0
11/15/2020,0,3,0
11/16/2020,1,2,0
11/17/2020,4,3,0
11/18/2020,0,3,0
11/19/2020,3,3,0
11/20/2020,0,3,0
11/21/2020,0,0,0
11/22/2020,1,1,0
11/23/2020,2,2,0
11/24/2020,0,0,0
11/25/2020,3,1,0
11/26/2020,1,1,0
11/27/2020,1,0,0
11/28/2020,0,1,0
11/29/2020,0,0,0
11/30/2020,0,0,0
12/1/2020,1,1,0
12/2/2020,0,1,0
12/3/2020,1,0,0
12/4/2020,0,3,1
12/5/2020,0,2,0
12/6/2020,1,0,0
12/7/2020,1,1,0
12/8/2020,0,2,0
12/9/2020,0,0,0
12/10/2020,0,0,0
12/11/2020,0,2,0
12/12/2020,0,0,0
12/13/2020,0,0,0
